School Name,Type,Major,Description,1 Year,4 Years,5 Years
University of Connecticut,Public,Zoology,Bachelor's Degree,35618,43133,73079
University of Connecticut-Avery Point,Public,Zoology,Bachelor's Degree,35618,43133,73079
University of Connecticut-Hartford Campus,Public,Zoology,Bachelor's Degree,35618,43133,73079
University of Connecticut-Stamford,Public,Zoology,Bachelor's Degree,35618,43133,73079
University of Connecticut-Waterbury Campus,Public,Zoology,Bachelor's Degree,35618,43133,73079
University of Oklahoma-Norman Campus,Public,Zoology,Bachelor's Degree,30931,39628,64096
San Francisco State University,Public,Zoology,Bachelor's Degree,41565,46358,59685
North Dakota State University-Main Campus,Public,Zoology,Bachelor's Degree,33115,45621,56284
Ohio University-Chillicothe Campus,Public,Zoology,Bachelor's Degree,29303,42761,54995
Ohio University-Eastern Campus,Public,Zoology,Bachelor's Degree,29303,42761,54995
Ohio University-Lancaster Campus,Public,Zoology,Bachelor's Degree,29303,42761,54995
Ohio University-Main Campus,Public,Zoology,Bachelor's Degree,29303,42761,54995
Ohio University-Southern Campus,Public,Zoology,Bachelor's Degree,29303,42761,54995
Ohio University-Zanesville Campus,Public,Zoology,Bachelor's Degree,29303,42761,54995
Tarleton State University,Public,Zoology,Bachelor's Degree,30736,34721,54638
University of California-Santa Barbara,Public,Zoology,Bachelor's Degree,37633,41245,53012
Washington State University,Public,Zoology,Bachelor's Degree,28469,38862,52434
Miami University-Oxford,Public,Zoology,Bachelor's Degree,28071,32644,49706
Michigan State University,Public,Zoology,Bachelor's Degree,26801,39630,49355
University of Wisconsin-Madison,Public,Zoology,Bachelor's Degree,23888,40827,49352
Colorado State University-Fort Collins,Public,Zoology,Bachelor's Degree,27741,36830,49193
Ohio State University-Main Campus,Public,Zoology,Bachelor's Degree,29996,39750,48205
Texas State University,Public,Zoology,Bachelor's Degree,22264,35783,47662
Unity College,"Private, nonprofit",Zoology,Bachelor's Degree,30987,33479,44818
University of New England,"Private, nonprofit",Zoology,Bachelor's Degree,28509,39370,44700
Weber State University,Public,Zoology,Bachelor's Degree,28461,35147,44320
