School Name,State,Degree Level,Acceptance Rate,Average SAT,Undergraduate Students,White,Black,Hispanic,Asian,Net Price,4 Year Graduation Rate,Median Debt @ Graduation,Percent Female,First Generation,Median Family Income,Median Earnings @ 10 Years Post Grad,Mean Earnings @ 10 Years Post Grad,90th Percentile Earnings
Chamberlain University-California,CA,3,100,0,597,0.3518,0.0637,0.1809,0.3015,38046,0.49228169,20919,0.896986301,0.47309798,46046,60400,92405,94100
DeVry University-Texas,TX,3,100,0,84,0.3095,0.2381,0.3095,0.0357,22609,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
California Institute of Technology,CA,3,2.69,0,982,0.2118,0.0346,0.22,0.3442,16550,0.810344828,0,0.456521739,0,44848,106300,128566,189000
University of California-Los Angeles,CA,3,8.57,0,32423,0.2573,0.0334,0.2219,0.2949,15637,0.790731205,14000,0.603156959,0.380891393,32613.5,73200,82511,128000
The Juilliard School,NY,3,10.61,0,476,0.3319,0.0693,0.0882,0.1282,41024,0,25500,0.432989691,0,62436,47300,37827,95300
University of California-Berkeley,CA,3,11.33,0,32475,0.2026,0.0207,0.2035,0.3506,17371,0.751293996,13000,0.546496254,0.345800525,31227,79000,92446,149700
Pitzer College,CA,3,18.4,0,1212,0.4868,0.0462,0.132,0.1205,40261,0,16750,0.583333333,0.23,71480.5,51500,69512,90700
University of California-Irvine,CA,3,21.15,0,28651,0.1309,0.02,0.265,0.3809,12426,0.787461459,15000,0.566089737,0.439811172,34735,65800,80735,108500
Wake Forest University,NC,3,21.37,0,5446,0.6594,0.0621,0.0883,0.0417,34720,0.883495146,21500,0.507772021,0.119680851,94263,79600,78158,144400
University of California-San Diego,CA,3,23.71,0,33092,0.1858,0.0165,0.2374,0.3391,15069,0.834979523,15500,0.519856077,0.395708283,35914,69600,84943,122700
Trine University-Regional/Non-Traditional Campuses,IN,3,24.44,0,266,0.6541,0.0414,0.0714,0.0075,19616,0.577419355,25000,0.391951006,0.321561338,56102,49600,57165,79800
California Institute of the Arts,CA,3,24.76,0,931,0.3512,0.043,0.1418,0.0913,51386,0.724137931,25000,0.526490066,0.157342657,55256,50600,41198,96900
Johnson C Smith University,NC,3,25.28,0,1041,0.0067,0.7666,0.0077,0.0029,20528,0.331223629,30000,0.586096257,0.364417178,26404,31400,42680,59200
University of California-Santa Barbara,CA,3,25.85,0,23419,0.3122,0.0187,0.2513,0.1865,15482,0.530453448,13993,0.577854131,0.424005811,36166,62400,74915,104800
The University of Tampa,FL,3,26.35,0,9593,0.6866,0.0284,0.1227,0.0154,34287,0.568521843,24211,0.635143571,0.25237627,75458,55100,59436,88400
DeVry College of New York,NY,3,26.67,0,423,0.208,0.3617,0.2553,0.0567,32760,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
Spelman College,GA,3,28.39,0,3098,0.0707,0.848,0,0.0136,38319,0.63064833,25000,0,0.207087486,43781,50700,59993,87400
California Polytechnic State University-San Luis Obispo,CA,3,30.43,0,20976,0.5142,0.007,0.2148,0.1421,18766,0.762199563,18500,0.502962625,0.248062016,74513,74300,90768,112300
Hope International University,CA,3,32.22,0,590,0.3034,0.0847,0.261,0.0441,24286,0.371335505,23000,0.54368932,0.386313466,40565,40700,49697,73700
Inter American University of Puerto Rico-Arecibo,PR,3,33.31,0,2352,0.0009,0,0.9987,0,8621,0.230708035,9000,0.59634425,0.352867309,7423,24539,24539,0
Methodist College,IL,3,33.33,0,433,0.7067,0.1547,0.0277,0.0393,31652,0.568047337,31250,0.895774648,0.347826087,30855,69800,69800,0
DeVry University-Florida,FL,3,33.33,0,281,0.2669,0.3167,0.3167,0.0142,29066,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
DeVry University-Virginia,VA,3,33.33,0,59,0.2034,0.5254,0.0847,0,33657,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
Cox College,MO,3,33.33,0,677,0.8405,0.0118,0.0473,0.0177,28124,0.72246696,20000,0.854545455,0.41031941,38003.5,42700,56867,69900
AdventHealth University,FL,3,33.72,0,917,0.2988,0.1625,0.3588,0.0502,27613,0.430594901,24590,0.825105783,0.390205371,30567,58200,72282,83900
Inter American University of Puerto Rico-Bayamon,PR,3,33.81,0,3730,0.0035,0.0011,0.992,0.0003,9155,0.205923836,8250,0.434991424,0.272658894,12983,29936,29936,0
Central Penn College,PA,3,33.99,0,844,0.4882,0.1943,0.1244,0.0273,12481,0.368024133,23194,0.634259259,0.505882353,28097.5,37700,45370,59100
New Hope Christian College-Eugene,OR,3,34.12,0,37,0.2973,0.027,0.2432,0.1351,15863,0,27000,0.457627119,0,22167,31100,31115,0
Corban University,OR,3,34.77,0,795,0.5912,0.0226,0.1484,0.0277,20565,0.574603175,22625,0.624535316,0.225242718,67205,40200,48917,77300
Dickinson College,PA,3,34.92,0,2083,0.6519,0.0451,0.0744,0.0523,30345,0.870090634,19000,0.571663921,0.12195122,100109,64100,70204,97500
Cleveland Institute of Music,OH,3,36.24,0,194,0.4639,0.0258,0.0773,0.201,25127,0.64516129,24968,0.440677966,0,93006,45200,32641,0
The University of Montana-Western,MT,3,36.31,0,1202,0.7912,0.0116,0.0391,0.0025,14064,0.24205379,21000,0.634300126,0.359673025,42280,36700,43229,63800
University of California-Davis,CA,3,37.34,0,31512,0.2117,0.0175,0.2401,0.3118,15674,0.762075134,13000,0.626724138,0.408311428,33783.5,68100,80838,117500
University of Wisconsin-Milwaukee Flex,WI,3,37.5,0,606,0.7657,0.0561,0.0677,0.0231,21310,0.445422166,23000,0.56415828,0.33047751,50518.5,48200,54990,74700
The New England Conservatory of Music,MA,3,37.55,0,363,0.3912,0.0193,0.0303,0.124,32148,0.777777778,27000,0.423529412,0,90092,41200,34483,68400
San Diego State University,CA,3,39.26,0,31810,0.3478,0.0397,0.3516,0.1337,12721,0.74266448,15000,0.584202042,0.411946193,32530,55900,64909,92000
California State University-Long Beach,CA,3,39.95,0,32780,0.1544,0.0356,0.4995,0.2197,8721,0.717224745,14289,0.590154456,0.486271676,26465,53000,64403,88000
Yeshiva Shaarei Torah of Rockland,NY,3,40,0,141,0.9007,0,0,0,7930,0.473684211,0,0,0,12710,89548,89548,0
Chamberlain University-Michigan,MI,3,40,0,637,0.6374,0.1821,0.0502,0.0706,35711,0.49228169,20919,0.896986301,0.47309798,46046,60400,92405,94100
Inter American University of Puerto Rico-San German,PR,3,40.11,0,2699,0.0007,0.0007,0.9974,0.0004,8832,0.311918063,8500,0.521446594,0.357957136,11003.5,25416,25416,0
DeVry University-California,CA,3,40.11,0,1582,0.244,0.146,0.3755,0.1018,31811,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
San Francisco Conservatory of Music,CA,3,41.58,0,221,0.3213,0.0407,0.0995,0.0724,33577,0,27000,0.372881356,0,49656,30800,30800,0
Allen University,SC,3,43.36,0,603,0.0033,0.9303,0.0232,0.0017,13862,0.224576271,34290,0.5,0.50656168,18921,26400,30497,42700
Ave Maria University,FL,3,44.21,0,1230,0.7065,0.0407,0.1276,0.0423,21131,0.559055118,20776,0.483940043,0.176339286,81806,33700,49520,0
Pennsylvania College of Art and Design,PA,3,44.31,0,236,0.7076,0.1271,0.0085,0.0593,25585,0.609195402,27000,0.685185185,0,56987.5,30600,33301,0
